full_name,nickname,longitude,latitude,
Pyon-Chen Hall (Residence Hall),PCH,-76.9450130082911,38.992006368432,
Brendan Iribe Center,IRB,-76.9364438800535,38.9891607057353,
E.A. Fernandez IDEA Factory,EAF,-76.9380368584742,38.9903479373045,
Johnson-Whittle Hall (Residence Hall),JWH,-76.9455661550643,38.9910437507671,
Yahentamitsi Dining Hall,YDH,-76.9446146376707,38.9910741490181,
School of Public Policy,SPP,-76.938516,38.985207,
251 North,,-76.9496090325357,38.99274005,
94th Aero Squadron,,-76.9210122711411,38.9781702,
A Harvey Wiley Federal Building FDA,FDA,-76.9261965846492,38.9770124,
A. James Clark Hall,AJC,-76.937262,38.9919651,
A.V. Williams Building,AVW,-76.9363418604721,38.99079905,
Adele H. Stamp Student Union Buildings,SSU,-76.9447218233957,38.98816455,
Agriculture Shed,,-76.9407337234236,38.99198175,
Allegany Hall (Residence Hall),AGY,-76.9414146,38.98157935,
Alpha Chi Omega Sorority,,-76.9360293156412,38.9814223,
Alpha Delta Pi Sorority,,-76.9352079623363,38.981239,
Alpha Epsilon Phi Sorority,,-76.93562535,38.98324535,
Alpha Epsilon Pi,,-76.9351584,38.9846571,
Alpha Phi Sorority,,-76.9352442035259,38.9808974,
Alpha Sigma Phi Fraternity,,-76.9346571906316,38.98329385,
American Center for Physics,,-76.9299850652696,38.97152715,
Animal Science Service Building,,-76.9410828738213,38.99200365,
Animal Science/Agricultural Engineering Building,ANS,-76.9394592785606,38.99164625,
Annapolis Hall,ANN,-76.9400675383842,38.9822303,
Anne Arundel Hall,ANA,-76.94673185,38.98595025,
Apiary,API,-76.9487330028218,38.99193245,
Aquatics Center,,-76.9464978414166,38.9933884,
Architecture Building,ARC,-76.9475462198212,38.98423555,
Art-Sociology Building,ASY,-76.9478947752967,38.98528145,
Baltimore Hall (Residence Hall),BAL,-76.9421925409139,38.9822469,
Bel Air Hall (Residence Hall),BEL,-76.9426116,38.99281705,
Benjamin Building,EDU,-76.9474215,38.9867095,
Biology-Psychology Building,BPS,-76.9425929312518,38.98872265,
Biomolecular Sciences Building,AGL,-76.9376944355845,38.99285415,
Biosciences Research Building,BRB,-76.9428094130756,38.98897595,
Blacksmith Shop,,-76.94089305,38.9922976,
Building Services Operations Building,,-76.9346037302467,38.98626085,
